record,task,trial,fold,variant,truth,prediction,right_probability
VisualCogB_Task-1,1,2,0,temporal24,-1,-1,0.4939733266863028
VisualCogB_Task-1,1,3,0,temporal24,1,1,0.5032230441301139
VisualCogB_Task-1,1,4,0,temporal24,-1,-1,0.4590072613692206
VisualCogB_Task-1,1,5,0,temporal24,1,-1,0.4725407498824039
VisualCogB_Task-1,1,7,0,temporal24,1,1,0.5229340222562977
VisualCogB_Task-1,1,8,0,temporal24,-1,1,0.5317901693466044
VisualCogB_Task-1,1,9,0,temporal24,-1,1,0.5094435524936534
VisualCogB_Task-1,1,10,0,temporal24,-1,1,0.5097293599894756
VisualCogB_Task-1,1,11,0,temporal24,1,-1,0.4775852203933685
VisualCogB_Task-1,1,12,0,temporal24,-1,1,0.5226455449367923
VisualCogB_Task-1,1,13,0,temporal24,1,-1,0.48113630655220796
VisualCogB_Task-1,1,15,0,temporal24,-1,1,0.5200220985593528
VisualCogB_Task-1,1,16,0,temporal24,1,1,0.5035725322970442
VisualCogB_Task-1,1,17,0,temporal24,-1,-1,0.48900634737861126
VisualCogB_Task-1,1,18,0,temporal24,-1,1,0.5151872499642838
VisualCogB_Task-1,1,19,0,temporal24,1,-1,0.42663548067947465
VisualCogB_Task-1,1,20,0,temporal24,-1,1,0.5190720798434677
VisualCogA_Task-1,1,1,0,contrast25,-1,1,0.5087209254585571
VisualCogA_Task-1,1,4,0,contrast25,-1,1,0.5302105917559015
VisualCogA_Task-1,1,5,0,contrast25,1,1,0.5581245732002243
VisualCogA_Task-1,1,6,0,contrast25,-1,1,0.5952815814235825
VisualCogA_Task-1,1,7,0,contrast25,-1,1,0.5328302612156004
VisualCogA_Task-1,1,8,0,contrast25,-1,-1,0.4645467127889596
VisualCogA_Task-1,1,9,0,contrast25,1,1,0.5099179120564066
VisualCogA_Task-1,1,10,0,contrast25,1,1,0.510088365006609
VisualCogA_Task-1,1,11,0,contrast25,1,1,0.5411771649337165
VisualCogA_Task-1,1,12,0,contrast25,1,-1,0.49578949851849774
VisualCogA_Task-1,1,13,0,contrast25,-1,-1,0.49058498529620337
VisualCogA_Task-1,1,16,0,contrast25,-1,-1,0.49883661089215486
VisualCogA_Task-1,1,17,0,contrast25,1,1,0.5456759349104012
VisualCogA_Task-1,1,18,0,contrast25,-1,-1,0.47129921535188213
VisualCogA_Task-1,1,19,0,contrast25,-1,1,0.7512852928380633
VisualCogB_Task-1,1,1,0,contrast25,-1,1,0.5258485171215131
VisualCogB_Task-1,1,2,0,contrast25,-1,-1,0.4982433240112268
VisualCogB_Task-1,1,3,0,contrast25,1,1,0.5122659182915852
VisualCogB_Task-1,1,4,0,contrast25,-1,-1,0.4483090424538314
VisualCogB_Task-1,1,5,0,contrast25,1,1,0.5291551944251007
VisualCogB_Task-1,1,7,0,contrast25,1,1,0.5314525431430097
VisualCogB_Task-1,1,8,0,contrast25,-1,1,0.5412586793874227
VisualCogB_Task-1,1,9,0,contrast25,-1,-1,0.48946060845313283
VisualCogB_Task-1,1,10,0,contrast25,-1,1,0.5030580696973375
VisualCogB_Task-1,1,11,0,contrast25,1,-1,0.4758689807698342
VisualCogB_Task-1,1,12,0,contrast25,-1,1,0.5279211707676548
VisualCogB_Task-1,1,13,0,contrast25,1,-1,0.4937971087623787
VisualCogB_Task-1,1,15,0,contrast25,-1,1,0.5318945864836105
VisualCogB_Task-1,1,16,0,contrast25,1,1,0.5087426492011792
VisualCogB_Task-1,1,17,0,contrast25,-1,-1,0.4920827165663225
VisualCogB_Task-1,1,18,0,contrast25,-1,1,0.507744817377385
VisualCogB_Task-1,1,19,0,contrast25,1,-1,0.41275544464222463
VisualCogB_Task-1,1,20,0,contrast25,-1,1,0.5042165651049105
VisualCogA_Task-2,2,1,0,main,1,-1,0.3605769093865262
VisualCogA_Task-2,2,2,0,main,-1,1,0.6319943226119685
VisualCogA_Task-2,2,3,0,main,-1,1,0.6093523747065652
VisualCogA_Task-2,2,4,0,main,-1,1,0.573684559772391
VisualCogA_Task-2,2,5,0,main,1,-1,0.462464507577325
VisualCogA_Task-2,2,6,0,main,-1,1,0.6715909655891853
VisualCogA_Task-2,2,7,0,main,1,-1,0.4328956640439202
VisualCogA_Task-2,2,8,0,main,1,1,0.5005481479893652
VisualCogA_Task-2,2,9,0,main,-1,-1,0.4728323245973437
VisualCogA_Task-2,2,10,0,main,-1,1,0.672864720147674
VisualCogA_Task-2,2,11,0,main,1,-1,0.45516884736076496
VisualCogA_Task-2,2,12,0,main,1,1,0.5887038075227196
VisualCogA_Task-2,2,13,0,main,1,-1,0.3315416996275759
VisualCogA_Task-2,2,14,0,main,-1,1,0.5922070704963593
VisualCogA_Task-2,2,15,0,main,-1,-1,0.4554665623989886
VisualCogA_Task-2,2,16,0,main,-1,-1,0.3089739099924165
VisualCogA_Task-2,2,17,0,main,1,-1,0.4725227021341372
VisualCogA_Task-2,2,18,0,main,1,1,0.5506342908890927
VisualCogA_Task-2,2,19,0,main,-1,1,0.6084065471097142
VisualCogA_Task-2,2,20,0,main,-1,-1,0.4579156605980253
VisualCogB_Task-2,2,1,0,main,-1,-1,0.35512121348264786
VisualCogB_Task-2,2,3,0,main,-1,1,0.5059129065267609
VisualCogB_Task-2,2,4,0,main,1,-1,0.4683364524269581
VisualCogB_Task-2,2,5,0,main,-1,-1,0.47540566890214125
VisualCogB_Task-2,2,6,0,main,1,1,0.5756356593364298
VisualCogB_Task-2,2,8,0,main,1,1,0.5515519795285991
VisualCogB_Task-2,2,9,0,main,1,-1,0.487975650585469
VisualCogB_Task-2,2,11,0,main,1,-1,0.45435854170390244
VisualCogB_Task-2,2,12,0,main,1,1,0.5178092191867053
VisualCogB_Task-2,2,13,0,main,1,1,0.5119277890235833
VisualCogB_Task-2,2,17,0,main,-1,1,0.5918178623854132
VisualCogB_Task-2,2,18,0,main,1,-1,0.383132884941918
VisualCogB_Task-2,2,19,0,main,1,-1,0.4951879738062587
VisualCogA_Task-2,2,1,0,amplitude4,1,-1,0.497555184334796
VisualCogA_Task-2,2,2,0,amplitude4,-1,-1,0.4819973723244393
VisualCogA_Task-2,2,3,0,amplitude4,-1,-1,0.49972430334603
VisualCogA_Task-2,2,4,0,amplitude4,-1,-1,0.4993637825122292
VisualCogA_Task-2,2,5,0,amplitude4,1,-1,0.49989440774197524
VisualCogA_Task-2,2,6,0,amplitude4,-1,-1,0.4904168277243658
VisualCogA_Task-2,2,7,0,amplitude4,1,-1,0.495545066617443
VisualCogA_Task-2,2,8,0,amplitude4,1,-1,0.49975813316275275
VisualCogA_Task-2,2,9,0,amplitude4,-1,-1,0.4989158756292188
VisualCogA_Task-2,2,10,0,amplitude4,-1,1,0.5120433902250167
VisualCogA_Task-2,2,11,0,amplitude4,1,-1,0.49171632326117815
VisualCogA_Task-2,2,12,0,amplitude4,1,1,0.5128841288782616
VisualCogA_Task-2,2,13,0,amplitude4,1,1,0.5043813388465891
VisualCogA_Task-2,2,14,0,amplitude4,-1,1,0.5127676188677275
VisualCogA_Task-2,2,15,0,amplitude4,-1,-1,0.48921534000403405
VisualCogA_Task-2,2,16,0,amplitude4,-1,-1,0.48810438285982344
VisualCogA_Task-2,2,17,0,amplitude4,1,1,0.5248515679486266
VisualCogA_Task-2,2,18,0,amplitude4,1,1,0.5113469474664143
VisualCogA_Task-2,2,19,0,amplitude4,-1,1,0.5286362114371636
VisualCogA_Task-2,2,20,0,amplitude4,-1,1,0.5037034129027974
VisualCogB_Task-2,2,1,0,amplitude4,-1,-1,0.48352188252108724
VisualCogB_Task-2,2,3,0,amplitude4,-1,-1,0.4954718976534498
VisualCogB_Task-2,2,4,0,amplitude4,1,-1,0.49424475905663456
VisualCogB_Task-2,2,5,0,amplitude4,-1,-1,0.4976015635136337
VisualCogB_Task-2,2,6,0,amplitude4,1,1,0.5440527530794519
VisualCogB_Task-2,2,8,0,amplitude4,1,1,0.5142936839905707
VisualCogB_Task-2,2,9,0,amplitude4,1,-1,0.49597066047623733
VisualCogB_Task-2,2,11,0,amplitude4,1,1,0.5345070576524709
VisualCogB_Task-2,2,12,0,amplitude4,1,-1,0.48748278088083086
VisualCogB_Task-2,2,13,0,amplitude4,1,-1,0.49279988387034884
VisualCogB_Task-2,2,17,0,amplitude4,-1,1,0.5096775891001005
VisualCogB_Task-2,2,18,0,amplitude4,1,-1,0.4874149479817329
VisualCogB_Task-2,2,19,0,amplitude4,1,-1,0.4958760076320506
VisualCogA_Task-2,2,1,0,temporal24,1,-1,0.3847585027160986
VisualCogA_Task-2,2,2,0,temporal24,-1,1,0.5482059458702907
VisualCogA_Task-2,2,3,0,temporal24,-1,1,0.5327754398962342
VisualCogA_Task-2,2,4,0,temporal24,-1,-1,0.4996583495779487
VisualCogA_Task-2,2,5,0,temporal24,1,1,0.5233393208210946
VisualCogA_Task-2,2,6,0,temporal24,-1,1,0.5855044320325323
VisualCogA_Task-2,2,7,0,temporal24,1,-1,0.45383640734429687
VisualCogA_Task-2,2,8,0,temporal24,1,1,0.5070614506962564
VisualCogA_Task-2,2,9,0,temporal24,-1,-1,0.4863013400145292
VisualCogA_Task-2,2,10,0,temporal24,-1,1,0.6255155162084495
VisualCogA_Task-2,2,11,0,temporal24,1,-1,0.4589492622860293
VisualCogA_Task-2,2,12,0,temporal24,1,1,0.6040575318081325
VisualCogA_Task-2,2,13,0,temporal24,1,-1,0.3211958177727478
VisualCogA_Task-2,2,14,0,temporal24,-1,1,0.5732762288557518
VisualCogA_Task-2,2,15,0,temporal24,-1,-1,0.454086500814719
VisualCogA_Task-2,2,16,0,temporal24,-1,-1,0.36523909926205705
VisualCogA_Task-2,2,17,0,temporal24,1,1,0.6060739476089809
VisualCogA_Task-2,2,18,0,temporal24,1,1,0.557192648242292
VisualCogA_Task-2,2,19,0,temporal24,-1,1,0.6000391811575492
VisualCogA_Task-2,2,20,0,temporal24,-1,-1,0.4809339560078299
VisualCogB_Task-2,2,1,0,temporal24,-1,-1,0.40379996696299997
VisualCogB_Task-2,2,3,0,temporal24,-1,1,0.5133627895085011
VisualCogB_Task-2,2,4,0,temporal24,1,-1,0.4782308026555483
VisualCogB_Task-2,2,5,0,temporal24,-1,-1,0.49686625847315147
VisualCogB_Task-2,2,6,0,temporal24,1,1,0.6329680089503105
VisualCogB_Task-2,2,8,0,temporal24,1,1,0.5665915481939476
VisualCogB_Task-2,2,9,0,temporal24,1,-1,0.48451461066283313
VisualCogB_Task-2,2,11,0,temporal24,1,1,0.5904274792190257
VisualCogB_Task-2,2,12,0,temporal24,1,1,0.5151026434453337
VisualCogB_Task-2,2,13,0,temporal24,1,1,0.5097729853665355
VisualCogB_Task-2,2,17,0,temporal24,-1,1,0.5801242983961725
VisualCogB_Task-2,2,18,0,temporal24,1,-1,0.38402560851562584
VisualCogB_Task-2,2,19,0,temporal24,1,-1,0.4924681692571979
VisualCogA_Task-2,2,1,0,contrast25,1,-1,0.3605769093865262
VisualCogA_Task-2,2,2,0,contrast25,-1,1,0.6319943226119685
VisualCogA_Task-2,2,3,0,contrast25,-1,1,0.6093523747065652
VisualCogA_Task-2,2,4,0,contrast25,-1,1,0.573684559772391
VisualCogA_Task-2,2,5,0,contrast25,1,-1,0.462464507577325
VisualCogA_Task-2,2,6,0,contrast25,-1,1,0.6715909655891853
VisualCogA_Task-2,2,7,0,contrast25,1,-1,0.4328956640439202
VisualCogA_Task-2,2,8,0,contrast25,1,1,0.5005481479893652
VisualCogA_Task-2,2,9,0,contrast25,-1,-1,0.4728323245973437
VisualCogA_Task-2,2,10,0,contrast25,-1,1,0.672864720147674
VisualCogA_Task-2,2,11,0,contrast25,1,-1,0.45516884736076496
VisualCogA_Task-2,2,12,0,contrast25,1,1,0.5887038075227196
VisualCogA_Task-2,2,13,0,contrast25,1,-1,0.3315416996275759
VisualCogA_Task-2,2,14,0,contrast25,-1,1,0.5922070704963593
VisualCogA_Task-2,2,15,0,contrast25,-1,-1,0.4554665623989886
VisualCogA_Task-2,2,16,0,contrast25,-1,-1,0.3089739099924165
VisualCogA_Task-2,2,17,0,contrast25,1,-1,0.4725227021341372
VisualCogA_Task-2,2,18,0,contrast25,1,1,0.5506342908890927
VisualCogA_Task-2,2,19,0,contrast25,-1,1,0.6084065471097142
VisualCogA_Task-2,2,20,0,contrast25,-1,-1,0.4579156605980253
VisualCogB_Task-2,2,1,0,contrast25,-1,-1,0.35512121348264786
VisualCogB_Task-2,2,3,0,contrast25,-1,1,0.5059129065267609
VisualCogB_Task-2,2,4,0,contrast25,1,-1,0.4683364524269581
VisualCogB_Task-2,2,5,0,contrast25,-1,-1,0.47540566890214125
VisualCogB_Task-2,2,6,0,contrast25,1,1,0.5756356593364298
VisualCogB_Task-2,2,8,0,contrast25,1,1,0.5515519795285991
VisualCogB_Task-2,2,9,0,contrast25,1,-1,0.487975650585469
VisualCogB_Task-2,2,11,0,contrast25,1,-1,0.45435854170390244
VisualCogB_Task-2,2,12,0,contrast25,1,1,0.5178092191867053
VisualCogB_Task-2,2,13,0,contrast25,1,1,0.5119277890235833
VisualCogB_Task-2,2,17,0,contrast25,-1,1,0.5918178623854132
VisualCogB_Task-2,2,18,0,contrast25,1,-1,0.383132884941918
VisualCogB_Task-2,2,19,0,contrast25,1,-1,0.4951879738062587
VisualCogA_Task-1,1,21,1,main,-1,-1,0.4702428458332189
VisualCogA_Task-1,1,23,1,main,1,1,0.5182505401515378
VisualCogA_Task-1,1,24,1,main,-1,-1,0.3525844603989714
VisualCogA_Task-1,1,25,1,main,-1,1,0.579459070443262
VisualCogA_Task-1,1,26,1,main,1,-1,0.3329899065265985
VisualCogA_Task-1,1,28,1,main,-1,-1,0.3611989315647054
VisualCogA_Task-1,1,29,1,main,-1,-1,0.3945952768604135
VisualCogA_Task-1,1,30,1,main,-1,-1,0.4464206674387165
VisualCogA_Task-1,1,31,1,main,-1,1,0.5111648865586278
VisualCogA_Task-1,1,32,1,main,1,-1,0.49308505655807505
VisualCogA_Task-1,1,33,1,main,1,-1,0.48887506010387816
VisualCogA_Task-1,1,34,1,main,-1,1,0.5859040522253839
VisualCogA_Task-1,1,35,1,main,1,-1,0.4741271103672604
VisualCogA_Task-1,1,37,1,main,-1,1,0.5504461974588927
VisualCogA_Task-1,1,38,1,main,-1,-1,0.49003905358261446
VisualCogB_Task-1,1,21,1,main,1,1,0.515159773380296
VisualCogB_Task-1,1,22,1,main,1,1,0.5207236859273436
VisualCogB_Task-1,1,24,1,main,1,1,0.5135723388550089
VisualCogB_Task-1,1,26,1,main,1,1,0.5391513722424985
VisualCogB_Task-1,1,27,1,main,1,1,0.5367065436494153
VisualCogB_Task-1,1,28,1,main,1,1,0.5117847734087597
VisualCogB_Task-1,1,29,1,main,1,1,0.518088245349817
VisualCogB_Task-1,1,30,1,main,-1,-1,0.4424337373535373
VisualCogB_Task-1,1,31,1,main,1,1,0.5673248041094531
VisualCogB_Task-1,1,32,1,main,-1,-1,0.4043416516411174
VisualCogB_Task-1,1,33,1,main,-1,1,0.5106411817289391
VisualCogB_Task-1,1,34,1,main,1,-1,0.41800985812502733
VisualCogB_Task-1,1,35,1,main,-1,1,0.6281472014848866
VisualCogB_Task-1,1,37,1,main,-1,1,0.6013796128088412
VisualCogB_Task-1,1,38,1,main,-1,-1,0.43195354980612377
VisualCogB_Task-1,1,39,1,main,1,-1,0.41427381313474976
VisualCogB_Task-1,1,40,1,main,1,1,0.6909321892718244
VisualCogA_Task-1,1,21,1,amplitude4,-1,-1,0.4999340597617876
VisualCogA_Task-1,1,23,1,amplitude4,1,1,0.5049612734906113
VisualCogA_Task-1,1,24,1,amplitude4,-1,1,0.5001773058172954
VisualCogA_Task-1,1,25,1,amplitude4,-1,1,0.5278645577388784
VisualCogA_Task-1,1,26,1,amplitude4,1,-1,0.49629235399718524
VisualCogA_Task-1,1,28,1,amplitude4,-1,1,0.5007630794898181
VisualCogA_Task-1,1,29,1,amplitude4,-1,-1,0.4967022380630693
VisualCogA_Task-1,1,30,1,amplitude4,-1,-1,0.4982017346664414
VisualCogA_Task-1,1,31,1,amplitude4,-1,1,0.5130185698798491
VisualCogA_Task-1,1,32,1,amplitude4,1,-1,0.4994712392002499
VisualCogA_Task-1,1,33,1,amplitude4,1,1,0.501400820793487
VisualCogA_Task-1,1,34,1,amplitude4,-1,1,0.5024851553267958
VisualCogA_Task-1,1,35,1,amplitude4,1,1,0.5014400469574402
VisualCogA_Task-1,1,37,1,amplitude4,-1,1,0.5030652301269376
VisualCogA_Task-1,1,38,1,amplitude4,-1,-1,0.4963125872344593
VisualCogB_Task-1,1,21,1,amplitude4,1,1,0.5029814038852767
VisualCogB_Task-1,1,22,1,amplitude4,1,1,0.5037739080118313
VisualCogB_Task-1,1,24,1,amplitude4,1,1,0.5064214619747649
VisualCogB_Task-1,1,26,1,amplitude4,1,1,0.5073833021265549
VisualCogB_Task-1,1,27,1,amplitude4,1,1,0.5042753116644068
VisualCogB_Task-1,1,28,1,amplitude4,1,-1,0.4914510716732885
VisualCogB_Task-1,1,29,1,amplitude4,1,1,0.5032538595502601
VisualCogB_Task-1,1,30,1,amplitude4,-1,-1,0.4641444221398398
VisualCogB_Task-1,1,31,1,amplitude4,1,1,0.5210577441990557
VisualCogB_Task-1,1,32,1,amplitude4,-1,-1,0.489434115414228
VisualCogB_Task-1,1,33,1,amplitude4,-1,1,0.5001964349190327
VisualCogB_Task-1,1,34,1,amplitude4,1,-1,0.4818893880456286
VisualCogB_Task-1,1,35,1,amplitude4,-1,1,0.5254148859955231
VisualCogB_Task-1,1,37,1,amplitude4,-1,1,0.5204054192234826
VisualCogB_Task-1,1,38,1,amplitude4,-1,1,0.5002944741472314
VisualCogB_Task-1,1,39,1,amplitude4,1,-1,0.48255319751895437
VisualCogB_Task-1,1,40,1,amplitude4,1,1,0.5257626804680519
VisualCogA_Task-1,1,21,1,temporal24,-1,-1,0.4702428458332189
VisualCogA_Task-1,1,23,1,temporal24,1,1,0.5182505401515378
VisualCogA_Task-1,1,24,1,temporal24,-1,-1,0.3525844603989714
VisualCogA_Task-1,1,25,1,temporal24,-1,1,0.579459070443262
VisualCogA_Task-1,1,26,1,temporal24,1,-1,0.3329899065265985
VisualCogA_Task-1,1,28,1,temporal24,-1,-1,0.3611989315647054
VisualCogA_Task-1,1,29,1,temporal24,-1,-1,0.3945952768604135
VisualCogA_Task-1,1,30,1,temporal24,-1,-1,0.4464206674387165
VisualCogA_Task-1,1,31,1,temporal24,-1,1,0.5111648865586278
VisualCogA_Task-1,1,32,1,temporal24,1,-1,0.49308505655807505
VisualCogA_Task-1,1,33,1,temporal24,1,-1,0.48887506010387816
VisualCogA_Task-1,1,34,1,temporal24,-1,1,0.5859040522253839
VisualCogA_Task-1,1,35,1,temporal24,1,-1,0.4741271103672604
VisualCogA_Task-1,1,37,1,temporal24,-1,1,0.5504461974588927
VisualCogA_Task-1,1,38,1,temporal24,-1,-1,0.49003905358261446
VisualCogB_Task-1,1,21,1,temporal24,1,1,0.515159773380296
VisualCogB_Task-1,1,22,1,temporal24,1,1,0.5207236859273436
VisualCogB_Task-1,1,24,1,temporal24,1,1,0.5135723388550089
VisualCogB_Task-1,1,26,1,temporal24,1,1,0.5391513722424985
VisualCogB_Task-1,1,27,1,temporal24,1,1,0.5367065436494153
VisualCogB_Task-1,1,28,1,temporal24,1,1,0.5117847734087597
VisualCogB_Task-1,1,29,1,temporal24,1,1,0.518088245349817
VisualCogB_Task-1,1,30,1,temporal24,-1,-1,0.4424337373535373
VisualCogB_Task-1,1,31,1,temporal24,1,1,0.5673248041094531
VisualCogB_Task-1,1,32,1,temporal24,-1,-1,0.4043416516411174
VisualCogB_Task-1,1,33,1,temporal24,-1,1,0.5106411817289391
VisualCogB_Task-1,1,34,1,temporal24,1,-1,0.41800985812502733
VisualCogB_Task-1,1,35,1,temporal24,-1,1,0.6281472014848866
VisualCogB_Task-1,1,37,1,temporal24,-1,1,0.6013796128088412
VisualCogB_Task-1,1,38,1,temporal24,-1,-1,0.43195354980612377
VisualCogB_Task-1,1,39,1,temporal24,1,-1,0.41427381313474976
VisualCogB_Task-1,1,40,1,temporal24,1,1,0.6909321892718244
VisualCogA_Task-1,1,21,1,contrast25,-1,-1,0.4750975986889373
VisualCogA_Task-1,1,23,1,contrast25,1,1,0.5285784398683079
VisualCogA_Task-1,1,24,1,contrast25,-1,-1,0.31491089442367826
VisualCogA_Task-1,1,25,1,contrast25,-1,1,0.5638479868043889
VisualCogA_Task-1,1,26,1,contrast25,1,-1,0.2941339832101229
VisualCogA_Task-1,1,28,1,contrast25,-1,-1,0.32548091703485665
VisualCogA_Task-1,1,29,1,contrast25,-1,-1,0.3811689459559123
VisualCogA_Task-1,1,30,1,contrast25,-1,-1,0.4391254225224058
VisualCogA_Task-1,1,31,1,contrast25,-1,1,0.5100118153071626
VisualCogA_Task-1,1,32,1,contrast25,1,1,0.5038202768607294
VisualCogA_Task-1,1,33,1,contrast25,1,-1,0.4872445843806591
VisualCogA_Task-1,1,34,1,contrast25,-1,1,0.6072562523495166
VisualCogA_Task-1,1,35,1,contrast25,1,-1,0.4771640267708067
VisualCogA_Task-1,1,37,1,contrast25,-1,1,0.5623318148070192
VisualCogA_Task-1,1,38,1,contrast25,-1,-1,0.4961758119617854
VisualCogB_Task-1,1,21,1,contrast25,1,1,0.5202285889021266
VisualCogB_Task-1,1,22,1,contrast25,1,1,0.5294075709307784
VisualCogB_Task-1,1,24,1,contrast25,1,-1,0.47605714828052026
VisualCogB_Task-1,1,26,1,contrast25,1,1,0.5517254753639962
VisualCogB_Task-1,1,27,1,contrast25,1,1,0.5306614232816258
VisualCogB_Task-1,1,28,1,contrast25,1,1,0.5519906090531586
VisualCogB_Task-1,1,29,1,contrast25,1,1,0.5132773819326417
VisualCogB_Task-1,1,30,1,contrast25,-1,-1,0.4918142642046706
